Papua New Guinea	1,838.7	2,151.2	2,108.8	2,268.2	
Paraguay	3,983.5	3,858.0	4,497.4	4,712.8	
Peru	5,731.3	6,388.8	6,603.8	6,541.0	
Philippines	2,371.9	2,604.7	2,787.0	2,872.5	
Poland	13,891.1	13,142.0	13,776.5	14,336.8	
Portugal	23,194.7	20,577.4	21,618.7	22,124.4	
Puerto Rico	27,219.4	27,752.0	28,681.7		
Qatar	89,115.9	94,407.4	96,077.0	96,732.4	
Romania	9,200.3	8,577.3	9,587.2	10,000.0	
Russian Federation	13,323.9	14,078.8	14,487.3	12,735.9	
Rwanda	606.9	667.4	679.0	695.7	
Samoa	4,063.6	4,257.1	4,179.6	4,172.2	
San Marino						
Sao Tome and Principe	1,374.1	1,488.0	1,675.7	1,810.7	
Saudi Arabia	23,256.1	24,883.2	24,646.0	24,406.5	
Senegal	1,081.1	1,019.3	1,051.4	1,067.1	
Serbia	6,423.3	5,659.4	6,353.8	6,152.9	
Seychelles	12,189.0	12,844.9	15,695.6	15,564.6	
Sierra Leone	490.9	618.9	783.0	766.0	
Singapore	53,121.4	54,576.8	55,980.2	56,284.3	
Sint Maarten (Dutch part)						
Slovak Republic	18,138.7	17,207.3	18,109.5	18,500.7	
Slovenia	24,983.7	22,477.6	23,144.1	24,001.9	
Solomon Islands	1,648.9	1,866.7	1,890.0	2,024.2	
Somalia			521.2	542.6	
South Africa	8,080.9	7,592.2	6,889.8	6,483.9	
South Sudan	1,696.1	944.3	1,157.5	1,115.1	
Spain	31,832.2	28,647.8	29,370.7	29,721.6	
Sri Lanka	3,128.7	3,350.7	3,611.3	3,794.9	
St. Kitts and Nevis	13,737.3	13,642.5	14,498.6	15,510.4	
St. Lucia	7,195.7	7,248.2	7,319.5	7,647.5	
St. Martin (French part)						
St. Vincent and the Grenadines	6,183.7	6,337.8	6,591.6	6,668.9	
Sudan	1,596.4	1,662.3	1,726.1	1,875.8	
Suriname	8,448.5	9,422.3	9,618.4	9,680.1	
Swaziland	4,093.4	3,988.7	3,648.1	3,477.1	
Sweden	59,593.7	57,134.1	60,283.2	58,898.9	
Switzerland	88,002.6	83,208.7	84,669.3	85,616.6	
Syrian Arab Republic						
Tajikistan	841.2	962.4	1,048.7	1,114.0	
Tanzania	740.4	827.5	910.4	955.1	
Thailand	5,539.5	5,917.9	6,229.2	5,977.4	
Timor-Leste	1,015.7	1,127.1	1,117.7	1,169.0	
Togo	572.0	580.5	626.2	635.0	
Tonga	4,226.7	4,364.3	4,117.3	4,114.0	
Trinidad and Tobago	18,287.4	18,322.3	20,217.1	21,323.8	
Tunisia	4,298.1	4,187.5	4,310.0	4,420.7	
Turkey	10,584.2	10,646.0	10,975.1	10,515.0	
Turkmenistan	5,724.5	6,797.7	7,826.8	9,031.5	
Turks and Caicos Islands						
Tuvalu	3,993.5	4,044.2	3,880.4	3,826.9	
Uganda	591.4	656.4	674.3	714.6	
Ukraine	3,569.8	3,855.4	4,029.7	3,082.5	
United Arab Emirates	39,901.2	41,712.1	42,831.1	43,962.7	
United Kingdom	41,020.4	41,294.5	42,294.9	46,297.0	
